Country,Year,Internet Users,Population,Internet Users per 100
Afghanistan,2020,2788039,38928341,7.16
Albania,2020,1640132,2877800,57.01
Algeria,2020,15105483,43851043,34.45
Andorra,2020,63082,77265,81.66
Angola,2020,6188099,32866268,18.82
Antigua and Barbuda,2020,62971,97928,64.29
Argentina,2020,29433430,45195777,65.12
Armenia,2020,1701275,2963234,57.42
Australia,2020,20142518,25499881,79
Austria,2020,7254461,9006400,80.54
Azerbaijan,2020,7594883,10139175,74.89
Bahamas,2020,306311,393248,77.89
Bahrain,2020,1273321,1701583,74.84
Bangladesh,2020,20360069,164689383,12.36
Barbados,2020,211658,287371,73.65
Belarus,2020,6036724,9449321,63.86
Belgium,2020,9567015,11589616,82.55
Belize,2020,149676,397621,37.65
Benin,2020,1230484,12123198,10.15
Bhutan,2020,295827,771612,38.35
Bolivia,2020,4157675,11673029,35.61
Bosnia and Herzegovina,2020,1853796,3280815,56.5
Botswana,2020,860109,2351625,36.57
Brazil,2020,119682082,212559409,56.3
Brunei,2020,300072,437479,68.61
Bulgaria,2020,4141150,6948445,59.59
Burkina Faso,2020,1497442,20903278,7.16
Burundi,2020,214543,11890781,1.8
Cabo Verde,2020,235682,548800,42.93
Cambodia,2020,2775155,16718971,16.61
Cameroon,2020,4211315,26545864,15.87
Canada,2020,32158908,37742157,85.2
Central African Republic,2020,139761,4829764,2.89
Chad,2020,494910,16425859,3.01
Chile,2020,13693802,19116209,71.63
China,2020,701038864,1439323774,48.7
Colombia,2020,26342271,50882884,51.75
Comoros,2020,54468,869595,6.26
Congo (Kinshasa),2020,2988962,5518092,54.18
Costa Rica,2020,2925540,5094114,57.42
Cote d'Ivoire,2020,3940655,25070000,15.72
Croatia,2020,2971781,4105268,72.42
Cuba,2020,4230356,11326616,37.36
Cyprus,2020,851471,875899,97.22
Czechia,2020,7963238,10708982,74.35
Denmark,2020,5469449,5792203,94.41
Djibouti,2020,230435,988002,23.32
Dominica,2020,45518,71991,63.26
Dominican Republic,2020,5641602,10847904,52.02
Ecuador,2020,7926346,17643060,44.92
Egypt,2020,36958534,102334403,36.12
El Salvador,2020,1670090,6486201,25.74
Equatorial Guinea,2020,287175,1402985,20.46
Eritrea,2020,36197,3546427,1.02
Estonia,2020,1162285,1326539,87.61
Eswatini,2020,290777,1160164,25.07
Ethiopia,2020,14197662,114963583,12.35
Fiji,2020,389814,896444,43.48
Finland,2020,4735464,5540718,85.47
France,2020,49775470,65273512,76.27
Gabon,2020,928750,2225728,41.72
Gambia,2020,410071,2416664,16.97
Georgia,2020,1793920,3989175,44.96
Germany,2020,71887778,83783945,85.8
Ghana,2020,6640318,31072945,21.38
Greece,2020,7222616,10423056,69.28
Grenada,2020,62472,112519,55.52
Guatemala,2020,4609269,17915567,25.73
Guinea,2020,1069592,13132792,8.14
Guinea-Bissau,2020,109125,1874000,5.82
Guyana,2020,256715,786559,32.63
Haiti,2020,1500054,11402533,13.16
Honduras,2020,2518812,9904608,25.42
Hungary,2020,7170034,9660350,74.21
Iceland,2020,325109,341250,95.27
India,2020,197107112,1380004385,14.29
Indonesia,2020,57162793,273523621,20.9
Iran,2020,37079861,83992953,44.14
Iraq,2020,6343312,40222503,15.77
Ireland,2020,3895670,4937796,78.89
Israel,2020,6194183,8655541,71.54
Italy,2020,35020458,60461828,57.89
Jamaica,2020,1179853,2961161,39.85
Japan,2020,115872194,126476458,91.64
Jordan,2020,5147782,10203140,50.46
Kazakhstan,2020,12633162,18776707,67.28
Kenya,2020,7771658,53771300,14.45
Kuwait,2020,3205171,4270563,75.05
Kyrgyzstan,2020,1789108,6524191,27.42
Laos,2020,1235310,7275556,16.97
Latvia,2020,1577637,1886202,83.67
Lebanon,2020,4735216,6825442,69.38
Lesotho,2020,529633,2142252,24.74
Liberia,2020,461233,5057677,9.12
Libya,2020,0,6871287,0
Liechtenstein,2020,36123,38137,94.73
Lithuania,2020,2115477,2722291,77.71
Luxembourg,2020,548783,625976,87.65
Madagascar,2020,1037270,27691019,3.74
Malawi,2020,1016337,19129955,5.31
Malaysia,2020,22078776,32365998,68.23
Maldives,2020,237231,540542,43.88
Mali,2020,1871064,20250834,9.24
Malta,2020,346822,441539,78.54
Mauritania,2020,694536,4649660,14.93
Mauritius,2020,648381,1271767,50.99
Mexico,2020,69003337,128932753,53.54
Moldova,2020,2261399,4033963,56.07
Monaco,2020,34340,39244,87.5
Mongolia,2020,667070,3278292,20.34
Montenegro,2020,431858,628062,68.76
Morocco,2020,19795604,36910558,53.64
Mozambique,2020,1744811,31255435,5.58
Myanmar,2020,5611751,54409800,10.32
Namibia,2020,586379,2540916,23.08
Nepal,2020,4854342,29136808,16.67
Netherlands,2020,15630811,17134873,91.21
New Zealand,2020,3911183,4822233,81.1
